date,description,amount
01/07/2024,SALARY PAYMENT,4200.00
02/07/2024,ADOBE CREATIVE CLOUD,-87.49
03/07/2024,WOOLWORTHS METRO RICHMOND,-94.32
04/07/2024,ZOOM VIDEO AU,-21.99
05/07/2024,MYER MELBOURNE CITY,-189.00
08/07/2024,OFFICEWORKS 0072 BRUNSWICK,-67.80
09/07/2024,NETFLIX AUSTRALIA,-22.99
10/07/2024,JB HI-FI MELBOURNE CITY,-249.00
11/07/2024,MICROSOFT 365 PERSONAL,-119.00
12/07/2024,UBER EATS MELBOURNE,-42.50
14/07/2024,AMAZON AU MARKETPLACE,-34.99
15/07/2024,CANVA SUBSCRIPTIONS,-16.99
16/07/2024,COLES SUPERMARKET 3112,-78.45
17/07/2024,OFFICEWORKS ONLINE STORE,-23.40
18/07/2024,STAN ENTERTAINMENT,-12.00
19/07/2024,BUNNINGS WAREHOUSE RICHMOND,-67.00
22/07/2024,GITHUB INC MONTHLY,-10.00
23/07/2024,KMART AUSTRALIA ONLINE,-59.90
24/07/2024,AWS AMAZON WEB SERVICES,-18.45
25/07/2024,UBER TECHNOLOGIES PTY LTD,-28.70
26/07/2024,BP FUEL HAWTHORN,-94.20
28/07/2024,APPLE.COM/BILL ICLOUD,-1.49
29/07/2024,OFFICEWORKS 0072 BRUNSWICK,-112.60
30/07/2024,REFUND ADOBE INC,87.49
31/07/2024,WOOLWORTHS METRO FITZROY,-45.10
01/08/2024,GOOGLE WORKSPACE MONTHLY,-17.00
02/08/2024,HARVEY NORMAN SYDNEY,-299.00
05/08/2024,MENULOG AUSTRALIA,-38.90
06/08/2024,SLACK TECHNOLOGIES,-10.00
07/08/2024,CHEMIST WAREHOUSE HAWTHORN,-31.20
08/08/2024,OFFICEWORKS 0084 COLLINGWOOD,-89.95
09/08/2024,SALARY PAYMENT,4200.00
